subject,item,iteml,group,groupl,naming,graphotypingl,variability
36,8,nepo,1,hand,1,grapho,high
36,9,tofa,1,hand,1,grapho,high
36,10,laso,1,hand,1,grapho,high
36,11,tefa,1,hand,1,grapho,high
36,12,nape,1,hand,1,grapho,high
36,13,lesa,1,hand,1,grapho,high
36,14,nafo,1,hand,1,grapho,high
36,15,tepo,1,hand,1,grapho,high
36,16,lofe,1,hand,1,grapho,high
37,1,tofe,2,type,0,type,low
37,2,leso,2,type,0,type,low
37,3,nopa,2,type,0,type,low
37,4,tafo,2,type,0,type,low
37,5,nesa,2,type,1,type,low
37,6,lape,2,type,0,type,low
37,7,lose,2,type,0,type,low
37,8,nepo,2,type,1,type,low
37,9,tofa,2,type,0,type,low
37,10,laso,2,type,1,type,low
37,11,tefa,2,type,0,type,low
37,12,nape,2,type,0,type,low
37,13,lesa,2,type,0,type,low
37,14,nafo,2,type,0,type,low
37,15,tepo,2,type,0,type,low
37,16,lofe,2,type,0,type,low
38,1,tofe,2,type,0,type,low
38,2,leso,2,type,0,type,low
38,3,nopa,2,type,0,type,low
38,4,tafo,2,type,0,type,low
38,5,nesa,2,type,0,type,low
38,6,lape,2,type,0,type,low
38,7,lose,2,type,0,type,low
38,8,nepo,2,type,1,type,low
38,9,tofa,2,type,0,type,low
38,10,laso,2,type,0,type,low
38,11,tefa,2,type,1,type,low
38,12,nape,2,type,0,type,low
38,13,lesa,2,type,0,type,low
38,14,nafo,2,type,0,type,low
38,15,tepo,2,type,0,type,low
38,16,lofe,2,type,0,type,low
39,1,tofe,2,type,0,type,low
39,2,leso,2,type,0,type,low
39,3,nopa,2,type,0,type,low
39,4,tafo,2,type,0,type,low
39,5,nesa,2,type,0,type,low
39,6,lape,2,type,0,type,low
39,7,lose,2,type,0,type,low
39,8,nepo,2,type,1,type,low
39,9,tofa,2,type,0,type,low
39,10,laso,2,type,0,type,low
39,11,tefa,2,type,1,type,low
39,12,nape,2,type,1,type,low
39,13,lesa,2,type,0,type,low
39,14,nafo,2,type,0,type,low
39,15,tepo,2,type,0,type,low
39,16,lofe,2,type,0,type,low
40,1,tofe,2,type,0,type,low
40,2,leso,2,type,0,type,low
40,3,nopa,2,type,0,type,low
40,4,tafo,2,type,1,type,low
40,5,nesa,2,type,0,type,low
40,6,lape,2,type,0,type,low
40,7,lose,2,type,1,type,low
40,8,nepo,2,type,1,type,low
40,9,tofa,2,type,0,type,low
40,10,laso,2,type,0,type,low
40,11,tefa,2,type,1,type,low
40,12,nape,2,type,1,type,low
40,13,lesa,2,type,0,type,low
40,14,nafo,2,type,0,type,low
40,15,tepo,2,type,0,type,low
40,16,lofe,2,type,0,type,low
41,1,tofe,3,typevary,0,type,high
41,2,leso,3,typevary,0,type,high
41,3,nopa,3,typevary,0,type,high
41,4,tafo,3,typevary,0,type,high
41,5,nesa,3,typevary,0,type,high
41,6,lape,3,typevary,0,type,high
41,7,lose,3,typevary,0,type,high
41,8,nepo,3,typevary,1,type,high
41,9,tofa,3,typevary,0,type,high
41,10,laso,3,typevary,0,type,high
41,11,tefa,3,typevary,0,type,high
41,12,nape,3,typevary,0,type,high
41,13,lesa,3,typevary,0,type,high
41,14,nafo,3,typevary,0,type,high
41,15,tepo,3,typevary,0,type,high
41,16,lofe,3,typevary,0,type,high
42,1,tofe,3,typevary,0,type,high
42,2,leso,3,typevary,0,type,high
42,3,nopa,3,typevary,0,type,high
42,4,tafo,3,typevary,0,type,high
42,5,nesa,3,typevary,1,type,high
42,6,lape,3,typevary,0,type,high
42,7,lose,3,typevary,0,type,high
42,8,nepo,3,typevary,0,type,high
42,9,tofa,3,typevary,0,type,high
42,10,laso,3,typevary,1,type,high
42,11,tefa,3,typevary,0,type,high
42,12,nape,3,typevary,0,type,high
42,13,lesa,3,typevary,1,type,high
